city,state_name
Blairstown,New Jersey
Lighthouse Point,Florida
Surfside,Florida
Alva,Florida
Burlington,New Jersey
Oak Park,California
Pahrump,Nevada
Lk. Ariel,Pennsylvania
Cambridge,Nebraska
Hollywood,Florida
Mahtomedi,Minnesota
"Bethesda,",Maryland
Perkasie,Oklahoma
Hellertown,Pennsylvania
Thibodaux,Louisiana
Sparks Glencoe,Maryland
Winfield,Pennsylvania
Guttenberg,New Jersey
Solebury,Pennsylvania
Lorton,Virginia
Holland,Pennsylvania
Glendale,Utah
Lawrenceville,Pennsylvania
Palinfield,Illinois
Oliver Springs,Tennessee
Bigfork,Montana
Yellow Spgs,Ohio
Greer,South Carolina
North Augusta,South Carolina
Cape Charles,Virginia
Creston,Iowa
Liverpool,Pennsylvania
Hazel Green,Wisconsin
Clinton,New Jersey
Centre,Alabama
Pine Busg,New York
Griffith,Indiana
Campbell,Ohio
Paoli,Pennsylvania
Lake Arrowhead,California
Laingsburg,Michigan
Mt.Ranier,Maryland
Simpson,Pennsylvania
Canton,Connecticut
Bethesda,Connecticut
Wadena,Minnesota
Peoria,Oregon
Scaggsville,Maryland
Underwood,Washington
Gualala,California
Mount Horeb,Wisconsin
Wells,New York
Howard City,Michigan
Arlington,District of Columbia
Forest City,Pennsylvania
Stevensonville,Maryland
Mount Vernon,New York
Lake Ronkonkoma,New York
Galva,Illinois
Cedar Crest,New Mexico
Ridgefield Park,New Jersey
Glenelg,Maryland
Wash Township,New Jersey
Columbia,Connecticut
Pleasantiville,New York
Mount Pleasant,Utah
Williamsport,Indiana
Hainesville,Illinois
Joshua Tree,California
Braddock Height,Maryland
"Jamaica, Queens",New York
Rochester,Minnesota
Brighton,Tennessee
Lorton Station,Virginia
Pompano Beach,Florida
Mission,Kansas
Ronald,Washington
Alhambra,California
Wilton Manors,Florida
Southhampton,Pennsylvania
Thousand Palms,California
Lk Havasu Cty,Arizona
Center Rutland,Vermont
Weehawken,New Jersey
Mt.Kisco,New York
Carrollton,Georgia
Jamestown,Indiana
Altamonte Spg,Florida
North Patomic,Maryland
Douglassville,Pennsylvania
Waterloo,South Carolina
High View,West Virginia
Brooksville,Kentucky
East Haddam,Connecticut
Clifton,Colorado
Sunderland,Massachusetts
Wyoming,Illinois
Ramah,New Mexico
Des Moines,Iowa
West Seneca,New York
Stillwater,Pennsylvania
Pompton Plains,New Jersey
Remsenburg,New York
Manasquare,New Jersey
Bellows Falls,Vermont
Belleair Beach,Florida
Danville,Illinois
Kane,Pennsylvania
Caver Township,New Jersey
Dexter,New York
New Harmony,Indiana
Trumann,Arkansas
Rother Glen,Virginia
Mt. Vernon,Iowa
Rockford,Illinois
Shenandoah Junction,West Virginia
Athens,Texas
Needham Hgts,Massachusetts
Marysville,Ohio
Ludlow,Massachusetts
Ludington,Michigan
"Gaithersburg,",Maryland
Ingleside,Texas
Mineola,Texas
North Chas.,South Carolina
Evanston,Wyoming
Keota,Iowa
Windsor,Colorado
Springvalley,California
Hampton,Massachusetts
Deland,Florida
Athens,Military Europe
Talbott,Tennessee
Mount Shasta,California
Carthage,New York
Cove,Utah
Shiloh,Virginia
Winchester,Virginia
Elmira,New York
Churchville,Pennsylvania
Center Sandwich,New Hampshire
Elizabeth,Indiana
Charles,Maryland
Cumming,Georgia
Coto Laurel,Puerto Rico
Reinholds,Pennsylvania
Hickory Hills,Illinois
Chachapoyas,New York
White Pigeon,Michigan
Hastings Hdsn,New York
Tinian,Northern Mariana Islands
St. Cloud,Wisconsin
Cherry Hl Vlg,Colorado
Sugar Grove,Ohio
"Honesdale,",Pennsylvania
Lafayette Hill,Pennsylvania
West Creek,New Jersey
Coats,North Carolina
Coursegold,California
Indianapolis,Virginia
Pisgah Forest,North Carolina
Monroe,Virginia
Lake Park,Florida
Blue Bell,Pennsylvania
Lantana,Florida
East Windsor,New Jersey
Assonet,Massachusetts
Englewood,Ohio
Aurora,Nebraska
St Michael,Minnesota
Vista,California
Mayaguez,Puerto Rico
"Washington, Dc 20015 150",Virginia
Dunkirk,New York
Minetto,New York
Sullivan Island,South Carolina
Readyville,Tennessee
Salyorsburg,Pennsylvania
Erath,Louisiana
Blackhawk,California
N Summerlin,Nevada
Silverthorne,Colorado
Moneta,Virginia
Swannanoa,North Carolina
West Burke,Vermont
Leesville,Louisiana
Carlton,Washington
Charlottesvle,Virginia
New City,New York
Lancaster,California
Dumphries,Virginia
Gaston,North Carolina
Mt. Pleasant,Pennsylvania
Cinton,Connecticut
Mulkilteo,Washington
Yellow Springs,Ohio
Arlingotn,Virginia
Cheverly,Maryland
Churchville,New York
Halifex,North Carolina
Seeley Lake,Montana
Brandon,Florida
Tarpon Springs,Florida
Provincetown,Massachusetts
Fabens,Texas
Augusta,South Carolina
Vienna,Virginia
Sodus,New York
Earleville,Maryland
Lansing,Kansas
American Canyon,California
Freehold,New York
Millmont,Pennsylvania
Daniel,Wyoming
Yerington,Nevada
Lake Hopatcong,New Jersey
Greenich,Connecticut
Sleep Hollow,New York
Archbald,Pennsylvania
Sharon,Connecticut
Tallahase,Florida
Mechanicsburg,Pennsylvania
Elbersburg,Maryland
Quechee,Vermont
St. Helens,Oregon
North Prvidence,Rhode Island
NULL,Kansas
Elizabeth,New Jersey
Greenville,New York
Montpelier Stat,Virginia
Treasure Is,Florida
Muscle Shoals,Alabama
Puyallup,Washington
Fayetteville,Alaska
Agora Hills,California
Braithwaite,Louisiana
Prairie Du Sac,Wisconsin
N White Plains,New York
Selfridge,Michigan
South Riding,Virginia
Litchfield,Ohio
Fleming Island,Florida
West Simsbury,Connecticut
Union,Maine
Perry,New York
Mission Hills,California
Smithfield,Rhode Island
Oktaha,Oklahoma
Augusta,Kansas
Linwood,Pennsylvania
Hutto,Texas
Snohomish,Washington
Lavaca,Arkansas
Boring,Maryland
Richmond,Utah
Spring Creek,Nevada
Morrino,California
"Alexandria, Va 22302 210",Virginia
Drangesburg,South Carolina
Beijing,Military Pacific
Exeter,New Hampshire
St.Thomas,Virgin Islands
Fonda,New York
Wyoming,Rhode Island
Meadows Of Dan,Virginia
Island Park,New York
Rodnar,Pennsylvania
St George Island,Maryland
Juliustown,New Jersey
Sab Diego,California
Tomsriver,New Jersey
Lawrenceburg,Indiana
Eastford,Connecticut
Salida,Colorado
Pawleys Island,South Carolina
Valatie,New York
Enterprise,Alabama
Pawley's Island,South Carolina
Branch,Michigan
South Abington Twp,Pennsylvania
Little Falls,New Jersey
Hanover,New Hampshire
Tarzana,California
Roanoke,Texas
Steelton,Pennsylvania
Heppner,Oregon
Lambertville,New Jersey
Lake Elsinore,California
Waukee,Iowa
Warden,Washington
Beaver Creek,Ohio
Mount Vernon,Virginia
Delaware Water Gap,Pennsylvania
Jackson,South Dakota
Kaneohe,Hawaii
Forest Knolls,California
Nanticoke,Pennsylvania
Maysville,Oklahoma
Handersonville,Tennessee
Granville,Ohio
Cardinal,Virginia
Mc Carr,Kentucky
Carbondale,Illinois
Kent,Connecticut
Sebago,Maine
Arcola,Virginia
Palm Spring,California
West Shokan,New York
Sil Spr,Maryland
Sterling,Massachusetts
Derby,New York
South Huntingto,New York
Heber Springs,Arkansas
Glen Lyon,Pennsylvania
Sloughhouse,California
Mitchellville,Maryland
Adrian,Michigan
Sedalia,Missouri
Stone Mountain,Georgia
Wrightsville,Pennsylvania
Springfield,Oregon
"Lansdowne                     ",Maryland
East Flat Rock,North Carolina
Sandy Hook,Connecticut
Willow Springs,Illinois
Limerick,Maine
Matsuyama,Military Pacific
Glasco,New York
"Ashburn, Va 20147 4882",Virginia
Wycoff,New Jersey
Sims,North Carolina
Waterfall,Pennsylvania
Globe,Arizona
Newport Riichey,Florida
Washington,Arkansas
Uppr St Clair,Pennsylvania
"Falls Church, Va 22046 2",Virginia
Chalfont,Pennsylvania
Canton,Mississippi
Miami,Massachusetts
Boyds,Maryland
New Castle,Pennsylvania
Oakland,Michigan
Worden,Illinois
Rehoboth,Delaware
Dravosburg,Pennsylvania
Schoolcraft,Michigan
Whitehall,Wisconsin
Buckeye,Arizona
Lynch Station,Virginia
Eastham,Massachusetts
Glenwood,Illinois
Spring Hills,Tennessee
Hartford,South Dakota
North Poromac,Maryland
Barnegat,New Jersey
Sun Lakes,Arizona
Freemont,Ohio
Laurel,Maryland
Fitchburg,Wisconsin
North Ridgeville,Ohio
N Arlington,Virginia
Brackenridge,Pennsylvania
Park Crescent,New York
Coon Rapids,Minnesota
Dowell,Maryland
Hancock,New York
Pelham,Massachusetts
Sanders,Arizona
Monroe,New York
Alum Bridge,West Virginia
Kitty Hawk,North Carolina
Centerville,Utah
Clayton,New Jersey
Wolcott,New York
Polson,Montana
Needmore,Pennsylvania
Moorestwon,New Jersey
Edgecomb,Maine
Collinsville,Illinois
Machias,Maine
Gilbertsville,Pennsylvania
Harborside,Maine
Jenner,California
Framinghnm,Massachusetts
Chestnut Ridge,New York
South Nyack,New York
Saint Paul,Georgia
Lawndale,California
Hampton Falls,New Hampshire
Flatwoods,Kentucky
"Taiyuan,shanxi Province",Military Pacific
Milford,Virginia
Hull,Massachusetts
San Martin,California
West Keansburg,New Jersey
House Springs,Missouri
Lester,Pennsylvania
Browntown,Virginia
"Rosslyn,",Virginia
Mt Clair,Virginia
Grove City,Pennsylvania
Dcala,Florida
Ranchita,California
Charlotte,Tennessee
Lakeland,Tennessee
Mississippi State,Mississippi
Washington Dc 20011,District of Columbia
Shuker Hts.,Ohio
Batesburg,South Carolina
Montevallo,Alabama
Madison,Connecticut
Owatanna,Minnesota
Gridley,California
San Juan Bautista,California
North Woodmere,New York
Ransomville,New York
Neptune,New Jersey
"Lawrence,",New Jersey
New Boston,New Hampshire
Reading,Ohio
Neuchyatel,Nebraska
Fort Bidwell,California
Relaul,California
Holts Summit,Missouri
Nesbit,Mississippi
Maryville,Tennessee
Red Springs,North Carolina
Summerfield,Florida
New Lebanon,New York
Greenbank,Washington
South Canaan,Pennsylvania
Willard,Missouri
Nesoddtangen,Military Europe
Hillsborough,North Carolina
Hampton,Georgia
Yorktown Height,New York
Washigton,District of Columbia
Carol Stream,Illinois
Baltimore,Arizona
Pico Rivera,California
Brentwood la,California
Zimmerman,Minnesota
Saegertown,Pennsylvania
Blain,Pennsylvania
Peconic,New York
St. Albans,New York
Morgan,Utah
Los Alamos,New Mexico
Albuqueruque,New Mexico
Astoria,New York
Monterey Park,California
Williamstown,Massachusetts
Malden,New York
Southworth,Washington
Terryville,Connecticut
Dewitt,Michigan
Rose Haven,Maryland
Saint John,Indiana
Holloswood,New York
Belington,West Virginia
Sunflower,Mississippi
Foster,Rhode Island
Maricopa,Arizona
Twin Bridges,Montana
Vilas,North Carolina
Little Chute,Wisconsin
Prospect Hill,North Carolina
Livingston,New Jersey
Montrose,Alabama
Mill Spring,North Carolina
GRISWOLD,Connecticut
Jackson Heights,New York
Denis,Massachusetts
Dixfield,Maine
Sandown,New Hampshire
Farmington,New Mexico
Greenlawn,New York
Gallatin,Tennessee
Salina,Kansas
Monterrey,California
Windemere,Florida
Malvern,Arkansas
Wisconsin Rapids,Wisconsin
Richmond,California
Wayne,West Virginia
Rochester,New York
Omaha,Nebraska
Franklin,Pennsylvania
Bisbee,Arizona
Avon,New Jersey
Franklin Township,New Jersey
Aneta,North Dakota
Thomasville,Georgia
Bushkill,Pennsylvania
West Boothbay Harbor,Maine
Fort Smith,Arkansas
Renick,West Virginia
North Port,Florida
Prospect,Kentucky
Gibsonton,Florida
Fountain Inn,South Carolina
Wright Pat,Ohio
Ripon,California
Byram Township,New Jersey
Attelboro,Massachusetts
Kahuku,Hawaii
Marina,California
Fannettsburg,Pennsylvania
Oakland,Iowa
Jonesboro,Arkansas
Cleveland,Wisconsin
Commerce Township,Michigan
Colton,California
Saint Johns,Florida
Huntingtown,Maryland
Northfield,Minnesota
Arrowhead,Wisconsin
Gold Canyon,Arizona
Lenoir City,Tennessee
Zion,Illinois
Porter,Texas
Redfield,South Dakota
Euless,Texas
East Aurora,New York
Shawnee,Kansas
Tabernacle,New Jersey
Bound Brook,New Jersey
Arroyo Seco,New Mexico
Lutz,Florida
East Texas,Pennsylvania
Loysville,Pennsylvania
Bland,Virginia
Morganza,Maryland
Shorewood,Illinois
So Amboy,New Jersey
Pittsford,New York
Perkasie,Pennsylvania
Tehachapi,California
West Dover,Vermont
Rushford,Minnesota
Sharon,Vermont
"Chevy Chase, Md 20815 56",Virginia
Tysons,Virginia
Conklin,Michigan
Bedford,Virginia
Barrigada,Guam
Trophy Club,Texas
W Sayville,New York
South Wales,New York
Bloomington,Illinois
Lakeridge,Virginia
Deer Park,New York
"Takoma Park, Md 20912 69",Maryland
Akron,Ohio
Fall Church,Virginia
Oaklandt,California
Canton,Michigan
Toledo,Oregon
Vida,Oregon
Chesterfield,Missouri
Old San Juan,Puerto Rico
Saint Petersburg,Florida
Argyle,Texas
Alto,Michigan
Thurmont,Maryland
Norfolk,New York
Cedar Heights,Maryland
Boonville,California
Longwood,North Carolina
Glenmont,New York
Ithaca,Pennsylvania
Branchport,New York
San Marino,California
Wavkesha,Wisconsin
Atascadero,California
Bloomingdale,New Jersey
Salem,New Hampshire
Prairieville,Louisiana
Medina,Ohio
Washington,Washington
Pomeroy,Ohio
Lowndesboro,Alabama
Larkspur,California
Monument,Colorado
Queens Village,New York
Jessup,Maryland
Monument Beach,Massachusetts
Piitsburgh,Pennsylvania
Bridgeville,Delaware
Congers,New York
Leesburg,Georgia
Casa Blanca,New Mexico
Fowler,Indiana
Smyra,Delaware
Gretina,Louisiana
Mcfarland,California
Bayard,West Virginia
Decorah,Iowa
Futher Glen,Virginia
Kay Biscayne,Florida
Yorktown,Indiana
Wilton,Connecticut
Mentasta,Alaska
Mertztown,Pennsylvania
Vienna Austria,Virginia
Bumpus Mills,Tennessee
Darnestown,Maryland
Corpus Christi,Texas
Cotonsville,Maryland
Fort Campbell,Kentucky
Gretna,Louisiana
No. Woodmere,New York
DPO,Military Americas
West Sayville,New York
Auburn University,Alabama
Dale City,Maryland
Rye Brooke,New York
Schebectady,New York
Mc Graw,New York
Camden,New York
Bena,Virginia
Malverne,New York
Alton,Illinois
Newtown,Pennsylvania
Santo Domingo Pueblo,New Mexico
Alna,Maine
Campton,New Hampshire
Greeneville,Tennessee
Amawalk,New York
Arlington,South Dakota
Anynag-Si,Pennsylvania
Littleton,Massachusetts
Mutton Town,New York
Winslow,New Jersey
Matthews,Virginia
Taconic,Connecticut
Roosevelt,New Jersey
City Island,New York
Franklin Square,New York
Quinton,Virginia
Hannibal,Missouri
Morovis,Puerto Rico
Abell,Maryland
Grayslake,Illinois
El Macero,California
Broadview Hts,Ohio
Holly,Michigan
Devens,Massachusetts
Denver,Iowa
Mount Carmel,Pennsylvania
Midland,Michigan
Piedmont,South Carolina
Chippewa Falls,Wisconsin
Perth,Washington
Milford,New York
Berea,Kentucky
Atanta,Georgia
Ocean Isle Beach,North Carolina
Mt. Aukum,California
Marstons Mls,Massachusetts
Hazlehurst,Mississippi
Waterville,Massachusetts
Alma,Arkansas
Huntington Valley,Ohio
North Logan,Utah
Lyndon Center,Vermont
Pearl City,Hawaii
Blakeslee,Pennsylvania
Mc Mechen,West Virginia
West Covina,Louisiana
Waldwick,New Jersey
Ardmore,Oklahoma
Kearns,Utah
Labelle,Florida
1201 Rockville,Maryland
Lamar,South Carolina
Peninsula,Ohio
Diberville,Mississippi
NULL,Washington
Mount Pleasant,Iowa
Hamlin,Pennsylvania
Vicksburg,Michigan
Huron,Ohio
Bloomfld Twp,Michigan
Springfield,Virginia
Lincolnville,Maine
Lakeside,Arizona
Keene,New York
Dryfork,West Virginia
Unionville,Massachusetts
Washington,New Hampshire
Greenwood,South Carolina
Jamestown,Michigan
Tula,Mississippi
Vashon Island,Washington
Keene,New Hampshire
Absarokee,Montana
Hemphill,Texas
Contoocook,New Hampshire
Blue Ridge Summ,Pennsylvania
Shrewsbury,Pennsylvania
Eastchester,New York
Keansburg,New Jersey
Fairview,Illinois
Sagamore Hills,Ohio
West Lake Village,California
San Antonio,North Carolina
Bretnwood,Tennessee
Springfield,Massachusetts
Point of Rocks,Maryland
Bumpuss Mills,Tennessee
Ticonderoga,New York
Byron,Illinois
Cherry Valley,New York
Zhongshan,Military Pacific
Morningside,Maryland
Bradfordwoods,Pennsylvania
Woodburn,Oregon
Foxpoint,Wisconsin
Fort Sill,Oklahoma
Lavallette,New Jersey
Grimstead,Virginia
Upperstrasburg,Pennsylvania
Fulton,New York
Queenstown,Maryland
Lakewood,New York
Bandera,Texas
Cincinati,Ohio
Tracy,Minnesota
Ossineke,Michigan
Crestwood,Kentucky
Worthington,Pennsylvania
Clearfield,Kentucky
Garland,North Carolina
Sawyer,Michigan
Milan,Tennessee
St James,New York
Moose Pass,Alaska
Panama,Pennsylvania
Decator,Georgia
North Easton,Massachusetts
Santa Rosa Valley,California
Augusta,West Virginia
Mt. Tremper,New York
Sterling,Illinois
Livingston,Texas
Olmstedville,New York
The Sea Ranch,California
Woodberry,New Jersey
Wood-Ridge,New Jersey
Eaton,Colorado
Stockton,New Jersey
Pemberville,Ohio
Cochran,Georgia
Eastport,Maryland
Greendale,Indiana
Edgerton,Kansas
Orlando,Minnesota
Arlingtyon,Virginia
Yarrow Point,Washington
North Plainfield,New Jersey
Breinigsville,Pennsylvania
Ashston,Maryland
Mastic Beach,New York
Gilmer,Texas
Monticello,New York
Toulon,Illinois
Poquosen,Virginia
Middlebrg Hts,Ohio
Big Indian,New York
Douglas,Arizona
Alamosa,Colorado
Newton Grove,North Carolina
Christiana,Pennsylvania
Danville,Kentucky
Durham,New Hampshire
Laplace,Louisiana
N.White Plains,New York
Queens,New York
Avalon,New Jersey
Delafield,Wisconsin
Todd,Pennsylvania
Willoughby Hills,Ohio
Huntington Valley,Pennsylvania
Horntown,Virginia
Chevy Chase,New Mexico
Fort Yates,North Dakota
Othello,Washington
Saranac,Michigan
Eaton Rapids,Michigan
Duluth,Georgia
Princeton,Mississippi
Austin,Minnesota
Provicetown,Massachusetts
Arnolds Park,Iowa
Okmulgee,Oklahoma
Hustontown,Pennsylvania
Mountlake Terrace,Washington
South River,New Jersey
Pine Bush,New York
"Geneva, 1208",Military Europe
Austin,District of Columbia
Crescent Spring,Kentucky
Farmington Hls,Michigan
Lovensville,Virginia
Oklahoma City,Oklahoma
Mount Juliet,Tennessee
Cobb,Wisconsin
Douglasville,Pennsylvania
Nurley,New Jersey
"Round Hill, Va 20141",Virginia
Waveland,Mississippi
Iola,Wisconsin
Robbinsdale,Minnesota
View Park,California
Lee,New Hampshire
Harbor Springs,Michigan
"Ashburn, Va 20148 7304",Virginia
Eggleston,Virginia
Olmos Park,Texas
Bird Creek,Alaska
Culpeper,Virginia
Hebron,Ohio
Waterford,Wisconsin
NULL,South Carolina
Hoffman Estate,Illinois
Buffalo Junction,Virginia
"Fort Meade, Md 20755 217",Maryland
